Name,Household Income Total,Income 100000 to 124999,Income 125000 to 149999,Income 150000 to 199999,Income 200000 or more,Total Children Under 18y,Total Children Under 18 in Married,Total 5y,Total 6 to 11y,Total 12 to 17y,Total Children in Other Families,Total Children Under 18 w/Male Housholder,Total 5y w/Male Housholder,Total 6 to 11y w/Male Housholder,Total 12 to 17y w/Male Housholder,Total Children Under 18 w/Female Housholder,Total 5y w/Female Housholder,Total 6 to 11y w/Female Housholder,Total 12 to 17y w/Female Housholder,State,County,Tract
Census Tract 1; San Diego County; California,1150,59,97,99,514,649,632,29,186,107,17,6,0,0,6,11,0,11,0,06,073,000100
Census Tract 2.01; San Diego County; California,1187,48,76,188,236,368,295,31,85,114,73,56,0,47,9,17,0,0,0,06,073,000201
Census Tract 2.02; San Diego County; California,2273,425,148,173,381,296,139,0,64,38,157,82,0,14,68,75,0,15,50,06,073,000202
Census Tract 3.01; San Diego County; California,1339,146,169,26,216,147,147,0,50,31,0,0,0,0,0,0,0,0,0,06,073,000301
Census Tract 3.02; San Diego County; California,1625,145,47,154,311,107,37,0,13,0,70,0,0,0,0,70,0,0,0,06,073,000302
Census Tract 4; San Diego County; California,2197,109,202,185,206,21,21,0,0,0,0,0,0,0,0,0,0,0,0,06,073,000400
Census Tract 5; San Diego County; California,1602,157,180,150,290,340,285,31,51,32,55,0,0,0,0,55,0,0,55,06,073,000500
Census Tract 6; San Diego County; California,1780,288,61,217,220,267,267,27,42,120,0,0,0,0,0,0,0,0,0,06,073,000600
Census Tract 7; San Diego County; California,2507,401,389,248,118,348,220,63,20,0,128,0,0,0,0,128,0,22,46,06,073,000700
Census Tract 8; San Diego County; California,2728,295,254,312,204,510,365,28,72,100,145,68,0,42,0,77,0,77,0,06,073,000800
Census Tract 9.01; San Diego County; California,1863,225,203,232,86,153,137,0,0,62,16,16,0,16,0,0,0,0,0,06,073,000901
Census Tract 9.02; San Diego County; California,1457,144,23,170,14,113,33,0,33,0,80,41,0,0,41,39,0,0,0,06,073,000902
Census Tract 10; San Diego County; California,2343,213,225,126,186,511,375,19,128,30,136,0,0,0,0,136,0,48,12,06,073,001000
Census Tract 11; San Diego County; California,1679,243,150,155,91,297,212,0,3,81,85,28,0,6,22,57,0,0,20,06,073,001100
Census Tract 12.01; San Diego County; California,1251,137,98,232,30,380,315,12,87,48,65,0,0,0,0,65,0,23,42,06,073,001201
Census Tract 12.02; San Diego County; California,1708,157,266,71,128,162,98,0,33,0,64,0,0,0,0,64,34,11,19,06,073,001202
Census Tract 13.01; San Diego County; California,1530,196,161,105,199,240,124,38,19,0,116,5,0,5,0,111,0,0,62,06,073,001301
Census Tract 13.02; San Diego County; California,2039,110,187,386,40,99,0,0,0,0,99,0,0,0,0,99,0,0,99,06,073,001302
Census Tract 14; San Diego County; California,1860,261,67,120,225,365,300,8,86,8,65,15,0,0,15,50,0,17,14,06,073,001400
Census Tract 15; San Diego County; California,2000,171,268,226,258,341,247,11,25,31,94,0,0,0,0,94,6,45,24,06,073,001500
Census Tract 16; San Diego County; California,2443,269,93,47,25,998,600,38,270,87,398,76,0,28,0,322,0,185,88,06,073,001600
Census Tract 17; San Diego County; California,2401,440,101,175,119,580,352,0,56,130,228,102,0,0,69,126,0,41,85,06,073,001700
Census Tract 18.01; San Diego County; California,878,158,80,19,9,336,100,0,33,0,236,69,0,0,0,167,0,75,92,06,073,001801
Census Tract 18.02; San Diego County; California,1732,126,52,133,70,136,80,9,48,0,56,0,0,0,0,56,16,29,11,06,073,001802
Census Tract 19; San Diego County; California,1443,157,135,212,284,246,246,33,39,10,0,0,0,0,0,0,0,0,0,06,073,001900
Census Tract 20.01; San Diego County; California,1392,98,101,232,603,401,380,11,86,123,21,7,0,0,7,14,0,0,14,06,073,002001
Census Tract 20.02; San Diego County; California,1120,104,156,232,241,375,242,4,43,90,133,60,0,18,42,73,0,0,0,06,073,002002
Census Tract 21; San Diego County; California,2443,315,257,328,133,535,291,5,58,111,244,90,0,0,71,154,0,46,108,06,073,002100
Census Tract 22.01; San Diego County; California,1386,88,23,0,46,722,463,52,214,173,259,9,0,0,0,250,0,129,74,06,073,002201
Census Tract 22.02; San Diego County; California,1698,60,34,40,33,1303,650,24,214,250,653,215,0,119,0,438,25,169,120,06,073,002202
Census Tract 23.01; San Diego County; California,1335,82,78,110,66,502,337,0,131,122,165,31,31,0,0,134,0,68,0,06,073,002301
Census Tract 23.02; San Diego County; California,2117,41,50,264,0,954,609,47,244,144,345,0,0,0,0,345,0,159,14,06,073,002302
Census Tract 24.01; San Diego County; California,1668,67,132,135,85,1081,553,42,218,164,528,45,0,0,28,483,0,71,374,06,073,002401
Census Tract 24.02; San Diego County; California,1696,135,30,16,8,1040,799,52,273,365,241,0,0,0,0,241,0,114,76,06,073,002402
Census Tract 25.01; San Diego County; California,1457,144,59,85,45,930,448,36,163,138,482,23,0,0,23,459,38,245,86,06,073,002501
Census Tract 25.02; San Diego County; California,2341,301,221,172,128,1617,825,15,316,300,792,182,0,79,34,610,35,234,250,06,073,002502
Census Tract 26.01; San Diego County; California,1488,101,42,39,0,1355,745,37,259,227,610,82,0,0,82,528,30,175,167,06,073,002601
Census Tract 26.02; San Diego County; California,1379,125,37,47,22,1179,608,20,175,285,571,85,0,45,25,486,25,168,152,06,073,002602
Census Tract 27.02; San Diego County; California,1910,182,209,139,192,1229,1038,0,455,367,191,12,0,2,0,179,0,106,58,06,073,002702
Census Tract 27.03; San Diego County; California,2240,295,210,180,188,877,624,15,201,243,253,38,0,19,0,215,0,14,201,06,073,002703
Census Tract 27.05; San Diego County; California,1488,89,51,72,20,559,374,13,138,95,185,26,0,0,26,159,0,25,134,06,073,002705
Census Tract 27.07; San Diego County; California,1515,260,34,6,25,1265,1076,30,346,350,189,32,13,19,0,157,0,40,110,06,073,002707
Census Tract 27.08; San Diego County; California,1883,80,0,0,12,1325,583,35,147,254,742,154,13,71,17,588,60,220,203,06,073,002708
Census Tract 27.09; San Diego County; California,1196,81,29,29,4,1300,437,28,189,160,863,0,0,0,0,863,0,415,354,06,073,002709
Census Tract 27.10; San Diego County; California,1148,142,30,30,39,878,619,54,339,101,259,43,0,12,19,216,0,54,119,06,073,002710
Census Tract 27.11; San Diego County; California,969,92,47,57,35,875,663,38,237,126,212,19,0,19,0,193,0,91,60,06,073,002711
Census Tract 27.12; San Diego County; California,1781,166,87,98,74,1126,780,49,318,236,346,21,0,0,16,325,79,71,112,06,073,002712
Census Tract 28.01; San Diego County; California,664,60,19,49,77,172,114,8,69,0,58,49,0,15,16,9,0,0,9,06,073,002801
Census Tract 28.03; San Diego County; California,2230,153,183,72,240,436,318,64,129,34,118,41,0,0,19,77,0,22,19,06,073,002803
Census Tract 28.04; San Diego County; California,1489,153,68,170,193,480,369,25,161,92,111,0,0,0,0,111,29,70,0,06,073,002804
Census Tract 29.02; San Diego County; California,2360,102,122,152,181,848,613,28,209,121,235,0,0,0,0,235,0,99,63,06,073,002902
Census Tract 29.03; San Diego County; California,1569,175,87,73,82,804,676,0,269,106,128,4,0,0,0,124,20,37,12,06,073,002903
Census Tract 29.04; San Diego County; California,2436,109,69,84,176,673,331,0,35,75,342,55,0,0,0,287,0,50,116,06,073,002904
Census Tract 29.05; San Diego County; California,1812,204,109,178,35,552,232,32,87,42,320,0,0,0,0,320,0,121,87,06,073,002905
Census Tract 30.01; San Diego County; California,1214,152,198,86,106,829,677,89,137,221,152,75,0,0,0,77,0,15,45,06,073,003001
Census Tract 30.03; San Diego County; California,1533,111,210,135,80,823,487,109,174,104,336,61,0,0,61,275,18,76,161,06,073,003003
Census Tract 30.04; San Diego County; California,1470,174,96,50,60,1172,688,0,194,320,484,17,0,0,17,467,26,145,184,06,073,003004
Census Tract 31.01; San Diego County; California,1050,88,78,123,23,777,576,27,207,177,201,173,15,51,107,28,0,0,28,06,073,003101
Census Tract 31.03; San Diego County; California,1671,223,94,206,59,749,515,7,128,215,234,53,0,21,17,181,34,16,50,06,073,003103
Census Tract 31.05; San Diego County; California,1307,280,96,126,66,771,692,13,318,34,79,9,0,0,9,70,35,35,0,06,073,003105
Census Tract 31.07; San Diego County; California,1540,166,184,135,85,707,481,0,155,302,226,59,0,0,0,167,0,87,58,06,073,003107
Census Tract 31.08; San Diego County; California,998,182,89,104,87,609,419,39,185,91,190,20,0,7,0,170,0,57,71,06,073,003108
Census Tract 31.09; San Diego County; California,879,197,89,114,65,471,377,99,61,58,94,0,0,0,0,94,0,0,94,06,073,003109
Census Tract 31.11; San Diego County; California,1845,174,50,61,143,1626,707,68,226,183,919,110,18,35,36,809,65,271,363,06,073,003111
Census Tract 31.12; San Diego County; California,1097,157,138,98,18,1059,840,114,282,267,219,76,0,0,76,143,0,112,31,06,073,003112
Census Tract 31.13; San Diego County; California,1149,111,92,168,163,613,458,0,156,168,155,21,0,10,11,134,14,70,50,06,073,003113
Census Tract 31.14; San Diego County; California,873,104,102,77,65,398,341,65,133,94,57,43,8,0,0,14,0,0,14,06,073,003114
Census Tract 31.15; San Diego County; California,1704,238,187,114,136,917,676,54,274,219,241,48,0,21,4,193,9,120,32,06,073,003115
Census Tract 32.01; San Diego County; California,1451,189,155,94,152,1456,925,12,319,209,531,25,0,0,25,506,73,71,91,06,073,003201
Census Tract 32.02; San Diego County; California,1296,153,104,90,37,669,485,26,186,128,184,81,27,16,6,103,0,45,58,06,073,003202
Census Tract 32.04; San Diego County; California,1037,101,144,98,84,418,335,12,85,64,83,0,0,0,0,83,0,0,67,06,073,003204
Census Tract 32.07; San Diego County; California,2209,293,242,301,396,998,872,154,331,191,126,67,0,25,42,59,0,20,39,06,073,003207
Census Tract 32.08; San Diego County; California,1915,366,98,98,32,1716,903,141,359,318,813,371,0,115,195,442,66,154,204,06,073,003208
Census Tract 32.09; San Diego County; California,1847,187,130,161,81,866,602,4,239,254,264,77,8,43,3,187,0,68,105,06,073,003209
Census Tract 32.11; San Diego County; California,884,94,97,93,46,616,494,30,227,149,122,17,0,0,0,105,5,5,73,06,073,003211
